graph_name,pw,type
suzuki_instance_3_4_2_2,11,opt
suzuki_instance_3_4_2_3,17,opt
suzuki_instance_3_5_2_2,11,opt
suzuki_instance_3_5_2_3,17,opt
suzuki_instance_3_6_2_2,11,opt
suzuki_instance_3_6_2_3,17,opt
suzuki_instance_3_7_2_2,11,opt
suzuki_instance_3_7_2_3,17,opt
suzuki_instance_3_8_2_2,11,opt
suzuki_instance_3_8_2_3,17,opt
suzuki_instance_3_9_2_2,11,opt
suzuki_instance_3_9_2_3,17,opt
1-FullIns_3,13,heur
1-FullIns_4,35,heur
1-FullIns_5,102,heur
1-Insertions_4,24,heur
1-Insertions_5,70,heur
1-Insertions_6,206,heur
2-FullIns_3,21,heur
2-FullIns_4,66,heur
2-FullIns_5,228,heur
2-Insertions_3,10,heur
2-Insertions_4,39,heur
2-Insertions_5,152,heur
3-FullIns_3,31,heur
3-FullIns_4,103,heur
3-FullIns_5,431,heur
3-Insertions_3,12,heur
3-Insertions_4,58,heur
3-Insertions_5,284,heur
4-FullIns_3,43,heur
4-FullIns_4,148,heur
4-FullIns_5,728,heur
4-Insertions_3,14,heur
4-Insertions_4,81,heur
5-FullIns_3,57,heur
5-FullIns_4,200,heur
anna,21,heur
ash331GPIA,115,heur
ash608GPIA,109,heur
ash958GPIA,137,heur
david,18,heur
DSJC1000.1,883,heur
DSJC1000.5,975,heur
DSJC1000.9,992,heur
DSJC125.1,66,heur
DSJC125.5,110,heur
DSJC125.9,119,heur
DSJC250.1,174,heur
DSJC250.5,232,heur
DSJC250.9,243,heur
DSJC500.1,405,heur
DSJC500.5,479,heur
DSJC500.9,492,heur
DSJR500.1,57,heur
DSJR500.1c,485,heur
DSJR500.5,252,heur
games120,46,heur
grid004x004,4,heur
grid010x010,10,heur
grid020x020,20,heur
grid030x030,30,heur
grid040x040,40,heur
grid050x050,50,heur
grid060x060,60,heur
grid070x070,70,heur
grid080x080,80,heur
grid090x090,90,heur
grid100x100,100,heur
grid200x200,200,heur
hc-power-004-002,5,heur
hc-power-005-002,5,heur
hc-power-006-002,5,heur
hc-power-007-002,5,heur
hc-power-008-002,5,heur
hc-power-009-002,5,heur
hc-power-010-002,5,heur
hc-power-011-002,5,heur
hc-power-012-002,5,heur
hc-power-013-002,5,heur
hc-power-014-002,5,heur
hc-power-015-002,5,heur
hc-power-016-002,5,heur
hc-power-017-002,5,heur
hc-power-018-002,5,heur
hc-power-019-002,5,heur
hc-power-020-002,5,heur
hc-power-11,4,heur
hc-power-12,5,heur
hc-square-004-002,4,heur
hc-square-005-002,4,heur
hc-square-006-002,4,heur
hc-square-007-002,4,heur
hc-square-008-002,4,heur
hc-square-009-002,4,heur
hc-square-01,3,heur
hc-square-010-002,4,heur
hc-square-011-002,4,heur
hc-square-012-002,4,heur
hc-square-013-002,4,heur
hc-square-014-002,4,heur
hc-square-015-002,4,heur
hc-square-016-002,4,heur
hc-square-017-002,4,heur
hc-square-018-002,4,heur
hc-square-019-002,4,heur
hc-square-02,4,heur
hc-square-020-002,4,heur
hc-toyno-01,3,heur
hc-toyyes-01,2,heur
huck,16,heur
latin_square_10,851,heur
le450_15a,284,heur
le450_15b,281,heur
le450_15c,358,heur
le450_15d,362,heur
